Hannah Abbott habbott@hufflepuff.hogwarts.edu
Katie Bell kbell@gryffindor.hogwarts.edu
Susan Bones sbones@hufflepuff.hogwarts.edu
Terry Boot tboot@ravenclaw.hogwarts.edu
Lavender Brown lbrown@gryffindor.hogwarts.edu
Millicent Bulstrode mbulstrode@slytherin.hogwarts.edu
Cho Chang cchang@ravenclaw.hogwarts.edu
Penelope Clearwater pclearwater@ravenclaw.hogwarts.edu
Michael Corner mcorner@ravenclaw.hogwarts.edu
Vincent Crabbe vcrabbe@slytherin.hogwarts.edu
Colin Creevey ccreevey@gryffindor.hogwarts.edu
Dennis Creevey dcreevey@gryffindor.hogwarts.edu
Roger Davies rdavies@ravenclaw.hogwarts.edu
Cedric Diggory cdiggory@hufflepuff.hogwarts.edu
Marietta Edgecombe medgecombe@ravenclaw.hogwarts.edu
Justin Finch-Fletchley jfinch-fletchley@hufflepuff.hogwarts.edu
Seamus Finnigan sfinnigan@gryffindor.hogwarts.edu
Marcus Flint mflint@slytherin.hogwarts.edu
Anthony Goldstein agoldstein@ravenclaw.hogwarts.edu
Gregory Goyle ggoyle@slytherin.hogwarts.edu
Hermione Granger hgranger@gryffindor.hogwarts.edu
Angelina Johnson ajohnson@gryffindor.hogwarts.edu
Lee Jordan ljordan@gryffindor.hogwarts.edu
Neville Longbottom nlongbottom@gryffindor.hogwarts.edu
Luna Lovegood llovegood@ravenclaw.hogwarts.edu
Draco Malfoy dmalfoy@slytherin.hogwarts.edu
Ernie Macmillan emacmillan@hufflepuff.hogwarts.edu
Cormac McLaggen cmclaggen@gryffindor.hogwarts.edu
Graham Montague gmontague@slytherin.hogwarts.edu
Theodore Nott tnott@slytherin.hogwarts.edu
Pansy Parkinson pparkinson@slytherin.hogwarts.edu
Padma Patil ppatil@ravenclaw.hogwarts.edu
Parvati Patil ppatil@gryffindor.hogwarts.edu
Harry Potter hpotter@gryffindor.hogwarts.edu
Tom Riddle triddle@slytherin.hogwarts.edu
Demelza Robins drobins@gryffindor.hogwarts.edu
Zacharias Smith zsmith@hufflepuff.hogwarts.edu
Alicia Spinnet aspinnet@gryffindor.hogwarts.edu
Dean Thomas dthomas@gryffindor.hogwarts.edu
Romilda Vane rvane@gryffindor.hogwarts.edu
Moaning Myrtle mwarren@ravenclaw.hogwarts.edu
Ginny Weasley gweasley@gryffindor.hogwarts.edu
Ron Weasley rweasley@gryffindor.hogwarts.edu
Oliver Wood owood@gryffindor.hogwarts.edu
Blaise Zabini bzabini@slytherin.hogwarts.edu
