Ludo Bagman lbagman@ministryofmagic.gov
Bathilda Bagshot bathilda@owlmail.com
Cuthbert Binns cbinns@hogwarts.edu
Phineas Black pnblack@hogwarts.edu
Sirius Black padfoot@owlmail.com
Amelia Bones abones@ministryofmagic.gov
Charity Burbage cburbage@hogwarts.edu
Frank Bryce fbryce@owlmail.com
Alecto Carrow alecto@owlmail.com
Amycus Carrow amycus@owlmail.com
Reginald Cattermole rcattermole@ministryofmagic.gov
Mary Cattermole mcattermole@owlmail.com
Dirk Cresswell dcresswell@ministryofmagic.gov
Barty Crouch bcrouch@ministryofmagic.gov
Bartemius Crouch bcrouchNOTmydad@owlmail.com
Fleur Delacour fdelacour@beauxbatons.edu
Gabrielle Delacour gdelacour@beauxbatons.edu
Dedalus Diggle ddiggle@orderofthephoenix.org
Amos Diggory adiggory@ministryofmagic.gov
Elphias Doge edoge@owlmail.com
Antonin Dolohov adolohov@owlmail.com
Aberforth Dumbledore aberforth@hogshead.com
Albus Dumbledore adumbledore@hogwarts.edu
Dudley Dursley ddursley@gmail.com
Marge Dursley mdursley@gmail.com
Petunia Dursley pdursley@gmail.com
Vernon Dursley vdursley@gmail.com
Arabella Figg afigg@orderofthephoenix.org
Argus Filch afilch@hogwarts.edu
Mundungus Fletcher mfletcher@orderofthephoenix.org
Filius Flitwick fflitwick@hogwarts.edu
Florean Fortescue ffortescue@diagonalley.com
Cornelius Fudge cfudge@ministryofmagic.gov
Marvolo Gaunt marvolo@owlmail.com
Merope Gaunt merope@owlmail.com
Morfin Gaunt morfin@owlmail.com
Fenrir Greyback fgreyback@owlmail.com
Gellert Grindelwald ggrindelwald@owlmail.com
Wilhelmina Grubbly-Plank wgrubbly-plank@hogwarts.edu
Godric Gryffindor ggryffindor@hogwarts.edu
Rubeus Hagrid rhagrid@hogwarts.edu
Rolanda Hooch rhooch@hogwarts.edu
Mafalda Hopkirk mhopkirk@ministryofmagic.gov
Helga Hufflepuff hhufflepuff@hogwarts.edu
Bertha Jorkins bjorkins@ministryofmagic.gov
Igor Karkaroff ikarkaroff@durmstrang.edu
Viktor Krum vkrum@durmstrang.edu
Silvanus Kettleburn skettleburn@hogwarts.edu
Bellatrix Lestrange bellatrix@owlmail.com
Rabastan Lestrange rlestrange@owlmail.com
Rodolphus Lestrange rodolphus@owlmail.com
Gilderoy Lockhart therealgilderoylockhart@owlmail.com
Alice Longbottom alongbottom@orderofthephoenix.org
Frank Longbottom flongbottom@orderofthephoenix.org
Augusta Longbottom alongbottom@owlmail.com
Xenophilius Lovegood xlovegood@thequibbler.com
Remus Lupin rlupin@orderofthephoenix.org
Walden Macnair wmacnair@owlmail.com
Lucius Malfoy lmalfoy@owlmail.com
Narcissa Malfoy nmalfoy@owlmail.com
Madam Malkin mmalkin@diagonalley.com
Griselda Marchbanks gmarchbanks@ministryofmagic.gov
Olympe Maxime omaxime@beauxbatons.edu
Minerva McGonagall mmcgonagall@hogwarts.edu
Alastor Moody amoody@orderofthephoenix.org
Bob Ogden bogden@ministryofmagic.gov
Garrick Ollivander gollivander@diagonalley.com
Peter Pettigrew wormtail@owlmail.com
Antioch Peverell apeverell@thedeathlyhallows.com
Cadmus Peverell cpeverell@thedeathlyhallows.com
Ignotus Peverell ipeverell@thedeathlyhallows.com
Irma Pince ipince@hogwarts.edu
Sturgis Podmore spodmore@orderofthephoenix.org
Poppy Pomfrey ppomfrey@hogwarts.edu
James Potter jpotter@orderofthephoenix.org
Lily Potter lpotter@orderofthephoenix.org
Albus Potter apotter@owlmail.com
Quirinus Quirrell qquirrell@hogwarts.edu
Helena Ravenclaw hravenclaw@owlmail.com
Rowena Ravenclaw rravenclaw@hogwarts.edu
Augustus Rookwood arookwood@ministryofmagic.gov
Thorfinn Rowle trowle@owlmail.com
Albert Runcorn aruncorn@ministryofmagic.gov
Newt Scamander nscamander@fantasticbeasts.com
Rufus Scrimgeour rscrimgeour@ministryofmagic.gov
Kingsley Shacklebolt kshacklebolt@ministryofmagic.gov
Stan Shunpike sshunpike@knightbus.com
Aurora Sinistra asinistra@hogwarts.edu
Rita Skeeter rskeeter@dailyprophet.com
Horace Slughorn hslughorn@hogwarts.edu
Salazar Slytherin sslytherin@hogwarts.edu
Hepzibah Smith hepzibah@owlmail.com
Severus Snape ssnape@hogwarts.edu
Pomona Sprout psprout@hogwarts.edu
Pius Thicknesse pthicknesse@ministryofmagic.gov
Andromeda Tonks atonks@owlmail.com
Nymphadora Tonks ntonks@orderofthephoenix.org
Ted Tonks ttonks@owlmail.com
Sybill Trelawney strewlawney@hogwarts.edu
Wilkie Twycross wtwycross@ministryofmagic.gov
Dolores Umbridge dumbridge@ministryofmagic.gov
Emmeline Vance evance@orderofthephoenix.gov
Septima Vector svector@hogwarts.edu
Lord Voldemort lordvoldemort@owlmail.com
Arthur Weasley aweasley@ministryofmagic.gov
Bill Weasley bweasley@gringotts.com
Charlie Weasley cweasley@orderofthephoenix.org
Fred Weasley fweasley@weasleyswizardwheezes.com
George Weasley gweasley@weasleyswizardwheezes.com
Molly Weasley mweasley@orderofthephoenix.org
Percy Weasley pweasley@ministryofmagic.gov
Corban Yaxley cyaxley@owlmail.com
